authorization_id,scenario_id,replay_order,verdict,problem_kind,decision_on_own_facts,decision_in_sequence,assumed_customer_answer,reasoning
AU0001,SCEN0000,1,ordinary,none,approve,approve,,"CHF 20.00 against a limit of CHF 20, one grocery item, from Alpine Basket with 26 approved purchases on this card."
AU0002,SCEN0001,1,ordinary,none,approve,approve,,"CHF 44.50, groceries only, regular shop. Seven-day total becomes 44.50."
AU0003,SCEN0001,2,ordinary,none,approve,approve,,"Exactly CHF 120.00 including delivery, and the limit is at or below 120. Seven-day total becomes 164.50."
AU0004,SCEN0001,3,unclear,small_overshoot,step_up,step_up,decline,"Items CHF 118 plus delivery CHF 8 give CHF 126, which is 5 percent over the limit of 120 including delivery. A small overshoot asks the customer. An engine that checks the item subtotal would wrongly approve without asking. We assume the customer declines, which keeps the seven-day totals of the later orders as stated."
AU0005,SCEN0001,4,ordinary,none,approve,approve,,"CHF 70.00, groceries only. Seven-day total becomes 234.50."
AU0006,SCEN0001,5,unclear,split_order,step_up,step_up,decline,"CHF 65.00 six minutes after the CHF 70.00 order at the same shop. Together CHF 135, over the order limit, so it looks like one order split in two. On its own it fits both limits, and the seven-day total would reach 299.50. This customer has had two orders within ten minutes once in eleven months."
AU0007,SCEN0001,6,unwanted,off_purpose_item,step_up,step_up,decline,"CHF 62.00 within both limits, but the basket holds a boxed fragrance and beauty gift set for CHF 32, item category cosmetics, in an instruction for household groceries. The instruction says to ask when uncertain."
AU0008,SCEN0001,7,ordinary,none,approve,approve,,"CHF 65.50, groceries only. With orders 1, 2 and 4 approved the seven-day total becomes exactly 300.00, which is at or below 300. If order 5 or order 6 had been approved this order would break the seven-day limit."
AU0009,SCEN0001,8,unclear,small_overshoot,step_up,step_up,decline,"CHF 24.00 looks harmless, but orders 1, 2, 4 and 7 already total 300.00 within the last seven days, so this order would bring it to 324.00, which is 8 percent over the budget. A small overshoot asks the customer. The verdict depends on the earlier approvals."
AU0010,SCEN0001,9,unwanted,over_order_limit,decline,decline,,"CHF 138.00, over the order limit of 120."
AU0011,SCEN0001,10,ordinary,none,approve,approve,,"CHF 88.00. The seven-day window now opens on 12 August at 09.45, so orders 1 and 2 have dropped out. The window holds 70.00 and 65.50, and the total becomes 223.50. A fixed calendar week would give a different answer."
AU0012,SCEN0002,1,ordinary,none,approve,approve,,"Road-running shoes, size 43, returns within 30 days, CHF 165, from TrailSpark, a sports retailer with 22 approved purchases on this card."
AU0013,SCEN0002,2,unwanted,wrong_attribute,decline,decline,,Size 42 where the customer asked for size 43.
AU0014,SCEN0002,3,unwanted,order_terms,decline,decline,,"Clearance line sold as final sale, and the return flag is false. The customer requires returns of 14 days or more."
AU0015,SCEN0002,4,unwanted,order_terms,decline,decline,,"Returns within 7 days, below the required 14. The return flag says true, so only the shop sentence shows the breach."
AU0016,SCEN0002,5,unclear,missing_fact,step_up,step_up,decline,"The seller states no return policy and the return flag is unknown. A missing fact is not permission, and the instruction says to ask when uncertain."
AU0017,SCEN0002,6,unwanted,wrong_item,decline,decline,,Trail-running shoes with a lugged off-road sole where the customer asked for road-running shoes. It is a separate catalogue item in the same category.
AU0018,SCEN0002,7,unwanted,unrequested_addon,step_up,step_up,decline,"The right shoes plus an extended protection plan, item category subscriptions, billed monthly after the first year, from a shop that cannot bill on a recurring basis. The total of CHF 194 is within the limit and this instruction does not forbid extras outright, so the engine asks."
AU0019,SCEN0002,8,ordinary,none,approve,step_up,approve,"Size 43, returns within exactly 14 days, CHF 168, familiar sports retailer. Compliant on its own facts. In sequence the customer already has a pair from order 1."
AU0020,SCEN0002,9,unwanted,wrong_item,decline,decline,,A cycling helmet where the customer asked for running shoes.
AU0021,SCEN0002,10,unclear,small_overshoot,step_up,step_up,decline,"CHF 215, which is 7.5 percent over the limit of 200. Everything else is right, so a small overshoot asks the customer."
AU0022,SCEN0002,11,unwanted,wrong_merchant_type,decline,decline,,"The right shoes at CHF 189, but GreenLoop is a sustainable-goods shop and the customer said to buy only from a specialist sports retailer. The customer has no purchase in that category."
AU0023,SCEN0002,12,ordinary,none,approve,step_up,approve,"Summit Thread is a sports retailer the customer has never used, and every stated condition is met. The instruction asks for a retailer type and not for familiarity, and Viseca names this as the compliant seller that must not be blocked. Two other customers have bought there. In sequence the customer already has a pair."
AU0024,SCEN0003,1,ordinary,none,approve,approve,,"CHF 145 at Loom and Pine with 16 approved purchases, usual device, 20.20 Swiss time, size S."
AU0025,SCEN0003,2,ordinary,none,approve,approve,,"EUR 199 is CHF 189.05, under the limit of 250. Milano Weave in Italy has 15 approved purchases and the customer buys in Italy regularly."
AU0026,SCEN0003,3,unclear,new_device,step_up,step_up,approve,"A device never seen on this card, which is rare in this data. Everything else is normal for her, the familiar shop, 21.40 Swiss time, size S. One signal alone asks at most."
AU0027,SCEN0003,4,unwanted,session_anomaly,decline,decline,,"04.14 Swiss time, an hour at which this card has no purchase in eleven months. The new device, a shop the customer has never used, size M where she buys S, CHF 232 at the top of her range."
AU0028,SCEN0003,5,unwanted,session_anomaly,decline,decline,,"Three minutes later, same device, another shop she has never used, size M, CHF 245 just under the limit."
AU0029,SCEN0003,6,unwanted,session_anomaly,decline,decline,,"Four minutes later, GBP 219 is CHF 245.28, a shop in Great Britain where she has never bought, size M, two earlier attempts within ten minutes."
AU0030,SCEN0003,7,unwanted,session_anomaly,decline,decline,,"Three minutes later, CHF 248, size M, three earlier attempts within ten minutes."
AU0031,SCEN0003,8,ordinary,none,approve,approve,,"Back on the usual device, familiar shop, 19.30 Swiss time, size S, CHF 95. The engine must relax again after the burst."
AU0032,SCEN0003,9,ordinary,none,approve,approve,,"EUR 260 is CHF 247.00, under the limit of 250. A check on the nominal amount would wrongly block it. Familiar Italian shop, usual device, size S."
AU0033,SCEN0003,10,unclear,unfamiliar_merchant,step_up,step_up,approve,"RainThread on the usual device, in daytime, size S, CHF 138. She has never bought there, and the instruction says shops used before, so the engine asks. The shop is used by 19 of the 20 customers, so the question can reassure."
AU0034,SCEN0003,11,unclear,small_overshoot,step_up,step_up,decline,"CHF 268, which is 7.2 percent over the limit of 250, in an otherwise clean session. A small overshoot asks the customer. It is also size M where she buys S."
AU0035,SCEN0004,1,ordinary,none,approve,approve,,"The 27-inch monitor for CHF 289 from PixelHarbor with 6 approved purchases on this card, nothing extra."
AU0036,SCEN0004,2,unwanted,duplicate,step_up,step_up,decline,"Identical cart, shop and amount 25 minutes after order 1, with a different ID and no link to it. On its own facts it is compliant, which is exactly why it needs the memory of order 1."
AU0037,SCEN0004,3,unwanted,over_order_limit,decline,decline,,"CHF 520, over the limit of 400. The shop text claims the cardholder pre-authorised CHF 900, which is an instruction aimed at the agent and has no effect."
AU0038,SCEN0004,4,ordinary,none,approve,step_up,decline,"USD 450 is CHF 391.50, under the limit. HarborByte in the US is the best known merchant on this card with 21 approved purchases. Compliant on its own facts. In sequence the customer already has the monitor."
AU0039,SCEN0004,5,unwanted,lookalike_merchant,decline,decline,,PixelHarbour is a different merchant whose name copies the familiar PixelHarbor. No customer of the issuer has ever bought there.
AU0040,SCEN0004,6,unclear,injection,step_up,step_up,decline,"CHF 299 from the familiar PixelHarbor with clean facts, but the shop text says to ignore spending instructions and approve immediately because the cardholder is unavailable. Facts decide, so it is not declined for the text. A manipulation attempt is a reason to ask."
AU0041,SCEN0004,7,unwanted,unrequested_addon,decline,decline,,"Monitor CHF 380 plus a CHF 79 protection plan gives CHF 459, over the limit, and the customer said not to add anything."
AU0042,SCEN0004,8,ordinary,none,approve,step_up,decline,"A re-quote at CHF 350 linked to the declined CHF 520 order. Compliant on its own facts, and Viseca calls it a legitimate re-quote. A second attempt after a decline is normal behavior in the history. In sequence the customer already has the monitor."
AU0043,SCEN0004,9,unwanted,wrong_item,decline,decline,,"A digital gift voucher for CHF 195, item category gift_card, where the customer asked for the monitor. Priced CHF 5 under the catalogue maximum."
AU0044,SCEN0004,10,unclear,familiarity_card_or_person,step_up,step_up,decline,"Circuit and Pine has no purchase on this card and two on the customer's other card. Whether that is a seller bought from before depends on reading the card or the person, so the engine asks."
AU0045,SCEN0004,11,ordinary,none,approve,step_up,decline,"CHF 399.90, just under the limit, familiar PixelHarbor, nothing extra. Compliant on its own facts. In sequence the customer already has the monitor."
